source_row,track_id,split
192537,2U6hcDLZHYRSd9Up0mMe9W,train
124939,6Ur41Ra8M5qmHNvcOC0DSj,train
133011,4LH6TQajTVHlPz1283KHAw,train
50961,6rFJnIyZLTVUD53lZYoGvD,train
71392,1zO47jCtwsqZ73yKzOtM2d,train
219305,0xyDjOJD4kL5H20Fbp2n9s,train
72626,0Mm7GGE9IP0VKmebTnK8AS,train
223383,0dMYPDqcI4ca4cjqlmp9mE,train
7141,6nX2RxyEPs34Kwm5lcyvfl,train
53366,21u7NjJXzBTH7kXN8pu8G8,train
80621,0LdWxqa8WRAXsH1nwotMI5,train
69289,029QP3fFtLaW9B9RKr8DAg,train
24359,47wWQiJ7x24lozA9Jp6nZc,train
85761,1NJoVAf6HvRbAMH1Py2XmN,train
121601,3vrrU6sZcWCzUddVNPUXHU,train
55851,0xeccjyEfeCSLxS4buQMxd,train
8891,6kXTLSraCU80MsIFD2aWJk,train
31063,3JSH93Cue4SmGC3jp7EDT7,train
113010,1uHACkBD8IHBmrkTrk6You,train
62917,1tbQJsvQzT5KBx3sqgz51u,train
213470,5nWgEBtaRwVrCMjer1RtLm,train
45828,2VRJIIzbhhOGaxAhwCMfZX,train
52579,1Axtu85kjdQ0FQe9E4FRwu,train
96244,5ukfhSa6DMPHkGyfdmTnV8,train
212954,7dUdMZqfGSIt0ZkmTOgRLA,train
70208,0UILvu6dBtLAlkUAIzHmmd,train
81675,12b0Wk5yhbGMs1Hn3oonhH,train
215023,4zlzeOLv2NNgTFb4XAYST5,train
41464,44BGoGw0sUc0Txh8Y4ZyFg,train
203533,7uahoYbvjqwlieliPabQLQ,train
28010,27dNTCK7lNXAcG7ZMMJe6b,train
106996,1PeoInLruB2PRsNC4VDy7E,train
63528,1p5scXmqROMpCC2Xv6neHe,train
29947,0L4Ac4KZwreMgD3JyZd64y,train
164911,68CpvWObWCj2s1O6dlBWNd,train
149433,3wWinz94TSPWe6CgTaSK6x,train
160336,6D0Sold3j4srnJqpYoRnDB,train
123299,0Br0IJnNIBVCZ9TD3ukX8M,train
159656,5Q4YVtkEGvFmUVoWUCAVcM,train
68780,2lMg3lCMOGistaWBNGjuT3,train
17139,7z0JDE4w67HXt5lEWsU2Hj,train
136175,0mthExhrwyhgZcCL1fQOkx,train
141834,3PaeOar0UeLiyigqJfNAfN,train
210382,5aKkIRht4psUQdZPbwRmz9,train
61976,2cYhGJbhvVareN1kFQiODe,train
23660,3G3CXKXrfACcOfoxhW9Zbx,train
65223,61SdG3F3LncuuMLAS8oN6j,train
78419,49shtsiVxakpVGxSltpgjX,train
166188,0w3Q14i073jLoew1hgJkwD,train
125027,5jXB4p8pQu9Ahv10ibU8fG,train
9964,6z5mh42xSM54RncKZMM8hS,train
217894,1lp2PrfYlvpWo0IPmqZTJD,train
52521,6pOQII30iYKvqSCGX28hnh,train
164032,654HiLSbztTS30G7TJ820m,train
45678,45HAjqRWiNv6mMPw4NvZrU,train
183396,2HJLM0TFqnZsIehjDxBljE,train
25836,1N4ixxhbBH1ClnPdTTsRzz,train
131336,4giRZahFKcoGzz6WbfHl0h,train
48728,51jI1FV3eie4EwI4qG6F1M,train
181134,6Cnq3giYBnvFrhl2DG8p8J,train
58828,1MRkmvrBkAEElaK8C8OKIR,train
136413,2JX6SE1ZsNGWDcb3kDZVfJ,train
71426,3cBza6toZzNnTbX7MoJQgA,train
182141,53vjUogvkigjCPE38u4o3K,train
217282,4jZHeAug66KEXw7KZbOX43,train
11390,3GTXok0dIm0mMqBiVklBYS,train
185110,7q8sNBAxBUXcA47hTm2nQt,train
3230,3pYKJaLiixRcDFfcNhxZKK,train
161713,2AxLjpnrOOcw5b0mxcKA7J,train
158063,1ydEGqAgszVAlF9o0hIpOI,train
3824,6ifQWrPaMurx3bER52Jcr8,train
72383,3zQ45pQS7Dkf9A7rgXEnci,train
195932,0oB0R3rIQmrOX10ep7G75V,train
199185,2SkXTMM4J6nsFRAjaxqLUp,train
42985,1YnLthg0HOs8YTzgN5hVh2,train
195087,4KO1K4B68fqBoJ1ac3Cize,train
75215,5EKHOVEXZv1n96Sn7afPnT,train
83074,5bw1YqIJecMcHQLg7VTe4k,train
122689,73OGfkL99i7q4rXldpnpgU,train
81787,4Dvjeqp9k5jeont4r78g4n,train
177829,639O967X7bNLy5sv6zZYc5,train
20463,2TYfPBSXeAJQgP1CpkXDUP,train
123024,4shJmtVH3PCCCMwDZb9DUr,train
4759,4XRZbiVdsA5qv6f6qP70lS,train
197574,5sCLX9GKfk8TNT7CY1KsCW,train
217326,68X9hem1ZV2yASlkf7nFhr,train
20656,29n0jFrzCO6AZHQq911Ntn,train
71403,6JWoLQAvw6LIMGOgEReYVM,train
131376,3kBHaED930SMaZBxIvP6YD,train
212813,0lTn7yYpzftkx4UzNNwVby,train
163625,0VpSfXuIxrBSrzFimedl3R,train
14701,0Jg602cHeMCnPez9baacIe,train
1787,4veeNpXDK1YRHMTJ1Cppsg,train
217203,09czZLUoLRD1oQry0J3GR9,train
74750,64m9tXwkhsFfOSLOQjcbAu,train
184207,7n6HYuUvnHPEgnI5Cnk2NZ,train
24958,4M71qEcBw2pRVhobefP901,train
51024,6USIjndxQ77bFLqwZB2iam,train
129073,6WkNAujl93Ho8EebRDmZZy,train
66128,6dBfFkId491jqMBLmkTFqI,train
210437,4zU4PdcEiCEYbwcKn6VTPp,train
210666,72bxOjLpQyAY10hIt3L8kz,train
22595,5E0pS3sXgWdQZMKChqYXHE,train
205817,5Mnf0Pkp1DycXSMLnnOFfZ,train
34450,0kB5CqZqHsKS8NVq1wFLCv,train
214696,6HNfFFlg1uVrrIhp11PcVQ,train
143295,5pP462QnVPfXeTvAiYAV6w,train
55950,35l0bJ8SPttHcfDhpgIdnN,train
162703,5cVO2EXh7LtCJn2wtOzuZk,train
